date,time,cash_type,card,price,coffee_name
2024-01-01,20:21,card,ANON-0000-0000-0208,2.382,Americano
2024-01-01,13:36,card,ANON-0000-0000-0144,3.282,Latte
2024-01-01,07:25,card,ANON-0000-0000-0105,2.382,Cortado
2024-01-01,16:06,card,ANON-0000-0000-0819,3.282,Cocoa
2024-01-01,20:37,card,ANON-0000-0000-0339,2.382,Americano
2024-01-01,10:11,card,ANON-0000-0000-0368,2.832,Americano with Milk
2024-01-01,08:56,card,ANON-0000-0000-0378,3.282,Latte
2024-01-01,12:07,card,ANON-0000-0000-0594,1.812,Espresso
2024-01-01,15:03,card,ANON-0000-0000-0577,3.282,Cappuccino
2024-01-02,08:15,card,ANON-0000-0000-0374,2.832,Americano with Milk
2024-01-02,19:09,card,ANON-0000-0000-0609,3.282,Cappuccino
2024-01-02,09:26,card,ANON-0000-0000-0414,2.382,Americano
2024-01-02,12:06,card,ANON-0000-0000-0865,3.282,Hot Chocolate
2024-01-02,15:31,card,ANON-0000-0000-1128,2.832,Americano with Milk
2024-01-02,13:37,cash,,2.382,Americano
2024-01-02,11:29,card,ANON-0000-0000-0676,2.382,Americano
2024-01-02,18:53,card,ANON-0000-0000-0482,2.382,Cortado
2024-01-02,16:12,cash,,2.832,Americano with Milk
2024-01-02,16:30,card,ANON-0000-0000-0301,2.382,Americano
2024-01-02,08:04,card,ANON-0000-0000-0543,3.282,Latte
2024-01-02,15:33,card,ANON-0000-0000-0564,1.812,Espresso
2024-01-02,13:00,card,ANON-0000-0000-1181,3.282,Latte
2024-01-03,10:59,card,ANON-0000-0000-0604,3.282,Cappuccino
2024-01-03,14:59,card,ANON-0000-0000-0783,3.282,Cappuccino
2024-01-03,13:11,card,ANON-0000-0000-0616,1.812,Espresso
2024-01-03,16:15,cash,,3.282,Cappuccino
2024-01-03,17:13,card,ANON-0000-0000-0993,2.832,Americano with Milk
2024-01-03,11:29,card,ANON-0000-0000-0835,3.282,Hot Chocolate
2024-01-03,20:00,card,ANON-0000-0000-0804,3.282,Latte
2024-01-03,11:01,card,ANON-0000-0000-0221,3.282,Latte
2024-01-04,09:47,card,ANON-0000-0000-0320,1.812,Espresso
2024-01-04,08:49,card,ANON-0000-0000-0708,3.282,Latte
2024-01-04,15:36,card,ANON-0000-0000-0439,3.282,Latte
2024-01-04,11:58,card,ANON-0000-0000-0298,2.382,Americano
2024-01-04,14:59,card,ANON-0000-0000-0667,1.812,Espresso
2024-01-04,20:21,card,ANON-0000-0000-1144,3.282,Cappuccino
2024-01-04,18:28,card,ANON-0000-0000-1090,2.382,Americano
2024-01-04,10:04,card,ANON-0000-0000-0217,2.382,Americano
2024-01-04,19:09,cash,,1.812,Espresso
2024-01-04,08:39,card,ANON-0000-0000-0766,3.282,Cappuccino
